Type,Name,Date Added,Modified History,Description,,,Keywords Tvesha Desai's Additions ,Sources,Deletations ,Jermin deletions ,Hirans deletions,Jessica Deletions,Jessica Additions,Jessica-Source
Theme,RELEASE_PRISON,13/10/13,13/10/13,Someone being released from prison/jail,,,,,Deleted ,,,None,,
Theme,RELIGION,13/10/13,13/10/13,"Just mention of terms like ""religion"" or ""secular"", not actual religions",,,"religious institutions,freedoms of thought,religious freedoms,political affiliation,universal human rights,discrimination,philosophical belief",https://www.ohrc.on.ca/en/creed-freedom-religion-and-human-rights-special-issue-diversity-magazine-volume-93-summer-2012/relationship-between-religions-and-secular-society,,,"Interpretations,strong rationale,dominant source,individualism,human,dignity,democratic",None,,
Theme,RESIGNATION,13/10/13,13/10/13,A resignation,,,,,Deleted ,,,None,,
Theme,RETALIATE,13/10/13,13/10/13,"Actual mentions of ""reprisals"", ""avenge"", ""strike back"", etc",,,"operational plan,ulterior objective,invasion,invaders ",https://guide-humanitarian-law.org/content/article/3/reprisals/,,,"Unlawful acts,Conventional,Military Objectives,Civilians,Protected",None,,
Theme,RETIREMENT,20/02/14,20/02/14,"Any mention of ""retirement"" (not ""retiring"", etc) or pensions.",,,"Private Pension,Federal government,retirement benefits,pre-retirement income",https://www.usa.gov/retirement,,,"financial problems,",None,,
Theme,RETIREMENTS,13/10/13,13/10/13,A retirement,,,"Existing Debts,Savings,Investment,",https://dictionary.cambridge.org/us/dictionary/english/retirement,Repeated ,,"Ideological, Social,Cultural,Political battles ,Financial Circumstances",None,,
Theme,ROAD_INCIDENT,20/02/14,20/02/14,Discussion of the rural environment,,,NK,,Repeated ,,,,,
Theme,RURAL,21/05/14,21/05/14,Sanctions and embargoes,,,NK,,,,,,,
Theme,SANCTIONS,13/10/13,13/10/13,,,,NK,,,,,,,
Theme,SANITATION,20/02/14,20/02/14,"Any mention related to sanitation, toilets, etc",,,NK,,,,,,,
Theme,SCANDAL,13/10/13,13/10/13,"Mention of scandal, disgraced, etc, where it has been self-identified in the text as a scandal",,,NK,,,,,,,
Theme,SCIENCE,13/10/13,13/10/13,"Just mentions of scientist, researcher, invention, innovation, scientific discovery, etc",,,NK,,,,,,,
Theme,SECURITY_SERVICES,13/10/13,13/10/13,"Discussion of primarily internal security services like police, law enforcement, secret police, and also peacekeepers",,,NK,,,,,,,
Theme,SEIGE,13/10/13,13/10/13,"Seiges, besieging, blockades, checkpoints, etc",,,NK,,,,,,,
Count,SEIZE,13/10/13,13/10/13,"Something being seized (often drugs, illegal materials, etc)",,,NK,,,,,,,
Theme,SELF_IDENTIFIED_ATROCITY,13/10/13,13/10/13,"Only captures atrocities identified as such in the text (atrocity, genocide, war crime, etc), not actions that could be construed as a crime, but where the text does not draw that distinction",,,NK,,,,,,,
Theme,SELF_IDENTIFIED_ENVIRON_DISASTER,13/10/13,13/10/13,"Articles where the text explicitly mentions ""ecological disaster"", ""environmental catastrophe"", etc",,,NK,,,,,,,
Theme,SELF_IDENTIFIED_HUMAN_RIGHTS,13/10/13,13/10/13,"Mentions of ""human rights"", ""political freedom"", ""religious freedom"", ""freedom of speech"", etc - only explicit mentions where the text explicitly identified a human rights issue",,,NK,,,,,,,
Theme,SELF_IDENTIFIED_HUMANITARIAN_CRISIS,13/10/13,13/10/13,"Humanitarian crises, aid, disasters, disaster relief, etc",,,NK,,,,,,,
Theme,SEPARATISTS,13/05/14,13/05/14,Self-identified discussion of separatists,,,NK,,,,,,,
Theme,SHORTAGE,13/10/13,13/10/13,"Shortages, blackouts, brownouts, rationing, etc of anything",,,NK,,,,,,,
Count,SICKENED,25/10/13,25/10/13,This category counts anything being sickened,,,NK,,,,,,,
Theme,SLFID_CAPACITY_BUILDING,01/05/14,01/05/14,Self-identified discussion of capacity building,,,NK,,,,,,,
Theme,SLFID_CIVIL_LIBERTIES,29/04/14,29/04/14,Self-identified discussion of civil liberties,,,NK,,,,,,,
Theme,SLFID_DICTATORSHIP,28/04/14,28/04/14,Self-identified discussion of dictatorship,,,NK,,,,,,,
Theme,SLFID_ECONOMIC_DEVELOPMENT,30/04/14,30/04/14,Self-identified discussion of economic development,,,NK,,,,,,,
Theme,SLFID_ECONOMIC_POWER,24/04/14,24/04/14,Self-identified discussion of economic power,,,NK,,,,,,,
Theme,SLFID_MILITARY_BUILDUP,07/05/14,07/05/14,Self-identified discussion of military buildup,,,NK,,,,,,,
Theme,SLFID_MILITARY_READINESS,08/05/14,08/05/14,Self-identified discussion of military readiness,,,NK,,,,,,,
Theme,SLFID_MILITARY_SPENDING,27/04/14,27/04/14,Self-identified discussion of military spending,,,NK,,,,,,,
Theme,SLFID_MINERAL_RESOURCES,19/04/14,19/04/14,"Self-identified discussion of mineral wealth, mineral resources, mineral exports",,,NK,,,,,,,
Theme,SLFID_NATURAL_RESOURCES,10/05/14,10/05/14,Self-identified discussion of natural resources,,,NK,,,,,,,
Theme,SLFID_PEACE_BUILDING,02/05/14,02/05/14,Self-identified discussion of peace building,,,NK,,,,,,,
Theme,SLFID_POLITICAL_BOUNDARIES,23/04/14,23/04/14,Self-identified discussion of political boundaries,,,NK,,,,,,,
Theme,SLFID_RULE_OF_LAW,09/05/14,09/05/14,Self-identified discussion of rule of law,,,NK,,,,,,,
Theme,SLUMS,04/11/13,04/11/13,"Slums, shantytowns, etc",,,NK,,,,,,,
Theme,SMUGGLING,04/11/13,04/11/13,"Smuggling of anything, including arms traficking",,,NK,,,,,,,
Theme,SOC_DIPLOMCOOP,01/10/14,01/10/14,Diplomatic cooperation,,,NK,,,,,,,
Theme,SOC_ECONCOOP,01/10/14,01/10/14,Economic cooperation,,,NK,,,,,,,
Theme,SOC_EXPRESSREGRET,01/10/14,01/10/14,Expressing regret,,,NK,,,,,,,
Theme,SOC_EXPRESSSUPPORT,01/10/14,01/10/14,"Expressing support for a person, action, or similar",,,NK,,,,,,,
Theme,SOC_FORCEDRELOCATION,01/10/14,01/10/14,Forced relocation,,,NK,,,,,,,
Theme,SOC_GENERALCRIME,01/10/14,01/10/14,Relating to general criminal activity,,,NK,,,,,,,
Theme,SOC_INTELSHARING,01/10/14,01/10/14,Intelligence sharing,,,NK,,,,,,,
Theme,SOC_JUDICIALCOOP,01/10/14,01/10/14,Judicial cooperation,,,NK,,,,,,,
Theme,SOC_MASSMIGRATION,01/10/14,01/10/14,Forced migration,,,NK,,,,,,,
Theme,SOC_PARDON,01/10/14,01/10/14,Relating to pardoning,,,NK,,,,,,,
Theme,SOC_SUICIDE,01/10/14,01/10/14,Relating to suicide,,,NK,,,,,,,
Theme,SOC_SUSPICIOUSACTIVITIES,01/10/14,01/10/14,"Specific mentions of ""suspicious"" activities",,,NK,,,,,,,
Theme,SOC_SUSPICIOUSPEOPLE,01/10/14,01/10/14,"Specific mentions of ""suspicious"" persons",,,NK,,,,,,,
Theme,SOC_TRAFFICACCIDENT,01/10/14,01/10/14,Traffic accidents,,,"fatal car accidents, motor vehicle crash, safer passage, parked vehicle, non-injury vehicle collisions, division of highway traffic safety , crash outcome data evaluation system, U.S. department of transportation",https://www.njoag.gov/about/divisions-and-offices/division-of-highway-traffic-safety-home/; https://www.health.ny.gov/statistics/prevention/injury_prevention/traffic/;,,,"(HTS), (CODES)",None,,
Theme,SOVEREIGNTY,13/10/13,13/10/13,"Actual mentions of ""sovereignty"", ""proclaim independence"", ""independent state"", etc",,,"proclamation of sovereignty, decolonization colonies, attainment of independence, moroccan sovereignty, liberian independence, American civil war",https://trumpwhitehouse.archives.gov/presidential-actions/proclamation-recognizing-sovereignty-kingdom-morocco-western-sahara/,,,", international law",None,,
Theme,STATE_OF_EMERGENCY,13/10/13,13/10/13,"Martial law, state of emergency, emergency rule, etc",,,"COVID-19 state of emergency, impose martial law, new jersey office of emergency management, state disaster emergency, medical pandemic, epidemic, natural disaster, monkeypox state of emergency ",https://www.ojp.gov/ncjrs/virtual-library/abstracts/martial-law-times-civil-disorder,,,(NJOEM),None,,
Theme,STRIKE,13/10/13,13/10/13,"Strikes, work stoppages, lock outs, etc",,,"right to strike, unlawful protests, lawful strikes, speech rights, economic strikers, unfair labor practice strikers, misconduct of strikers, growing threats ",https://www.nlrb.gov/strikes,,,none,None,,
Theme,SUICIDE_ATTACK,13/10/13,13/10/13,Suicide attacks,,,"suicide bombers, suicide terrorists, homicidal ideation, fatal tactics, smart bomb, high explosives, trinitrotoluene,TNT, suicide terrorism ",https://www.usip.org/publications/suicide-bombers-iraq-questions-and-answers; ,,,"(Act, Care, Treat)",None,,
Theme,SURVEILLANCE,20/02/14,20/02/14,"Surveillance, spying.",,,"government surveillance, the patriot act, Department of Homeland Security, Federal Bureau of Investigation, State Department, Drug Enforcement Administration, U.S. Postal Service, U.S. Marshals Service, Bureau of Alcohol, Tobacco, Firearms and Explosives, threat detection, Customs and Border Protection, Federal Emergency Management Agency",https://www.aclu.org/issues/national-security/privacy-and-surveillance/surveillance-under-patriot-act; https://www.brennancenter.org/our-work/research-reports/federal-government-social-media-surveillance-explained,,,social media,None,,
Theme,TAKE_OFFICE,13/10/13,13/10/13,"Mention of someone taking office either through force or through normal channels (took office, seized office, etc)",,,"stop & frisk, search incident to arrest, vehicular searches, vessel searches, consent searches, border searches, private searches, inventory searches ",https://www.govinfo.gov/content/pkg/GPO-CONAN-1992/pdf/GPO-CONAN-1992-10-5.pdf; https://www.justice.gov/file/442111/download,,,"detention short of arrest, scope of the amendment",None,,
Taxonomy,TAX_CARTELS,18/10/13,18/10/13,Returns any mention of a major recognized drug cartel,,,"international taxation, tax competition, states cartel, global tax agreement, Organization for Economic Cooperation and Development, OECD",https://danieljmitchell.wordpress.com/2021/07/08/tax-cartels-mean-ever-higher-tax-rates/,,,intellectual property (removed),"international taxation, tax competition",,
Taxonomy,TAX_DISEASE,13/10/13,13/10/13,Returns any mention of a major infectious disease,,,"Sexually transmitted infections, tuberculosis, malaria, adult febrile illness, viral hepatitis, neglected tropical diseases, flu, measles, HIV, strep throat, COVID-19, salmonella, chlamydia, E. Coli, shigellosis, syphilis",https://www.ncbi.nlm.nih.gov/books/NBK525192/,,,NONE,None,,
Taxonomy,TAX_ETHNICITY,13/10/13,13/10/13,Returns any mention of a major ethnicity from around the world (expands CAMEOETH),,,"new immigrants, ethnic american, phenotypic diversity, non-Hispanic whites, multiethnic, multicultural society, racial landscape, cultural phenomena, Latin America, mixed-ancestry diasporas, American Indian, Pacific Islander",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2882688/,,,race (removed),None,,
Taxonomy,TAX_FNCACT,13/10/13,25/10/13,"Returns any mention of a ""functional actor"", which is essentially a ""role"" from a ""child"" to a ""burgler"" to get a better understanding of the specific roles of people involved",,,"securitisation theory, hitherto functional actors, securitisation scholars, desecuritizing actor, problematises securitisation",https://www.tandfonline.com/doi/full/10.1080/21624887.2020.1827590; https://www.grin.com/document/141994; https://www.tandfonline.com/doi/pdf/10.1080/21624887.2020.1827590?needAccess=true,,,security (removed),None,,
Taxonomy,TAX_FOODSTAPLES,27/11/13,27/11/13,"Captures a cross-section of major food staples like bread, rice, etc",,,NK,,,,,,,
Taxonomy,TAX_MILITARY_TITLE,13/10/13,13/10/13,"Returns any mention of a major military title such as Captain, 1st Lieutenant, etc",,,NK,,,,,,,
Taxonomy,TAX_POLITICAL_PARTY,13/10/13,13/10/13,Returns any mention of a major recognized political party around the world,,,NK,,,,,,,
Taxonomy,TAX_RELIGION,13/10/13,13/10/13,Returns any mention of a major religion from around the world (expands CAMEOREL),,,NK,,,,,,,
Taxonomy,TAX_SPECIAL_ISSUES,13/10/13,13/10/13,Returns mentions of special issues such as certain major laws and will eventually be replaced by a new tracking system for those,,,NK,,,,,,,
Taxonomy,TAX_SPECIALDEATH,01/10/14,01/10/14,Special kinds of death such as beheadings,,,NK,,,,,,,
Taxonomy,TAX_TERROR_GROUP,13/10/13,13/10/13,Returns any mention of a major recognized terror group around the world,,,NK,,,,,,,
Taxonomy,TAX_WEAPONS,01/10/14,01/10/14,Specific weaponry,,,NK,,,,,,,
Theme,TERROR,13/10/13,13/10/13,"Primary discussion of terrorists, bombings, assasinations, etc",,,NK,,,,,,,
Theme,TORTURE,13/10/13,13/10/13,"Just mentions of the term ""torture"", not actual torture techniques like waterboarding",,,NK,,,,,,,
Theme,TOURISM,13/10/13,13/10/13,"Actual mentions of ""tourism"", ""tourists"", etc, not related terms",,,NK,,,,,,,
Theme,TRAFFIC,20/02/14,20/02/14,Road traffic.,,,"Road traffic fatalities, road traffic crashes, drink-driving restraints, speed-limit laws, seat-belt laws, Blood Alcohol Concentration Limit, BAC, road safety target, The Global Status Report on Road Safety",https://www.who.int/en/news-room/detail/19-10-2015-despite-progress-road-traffic-deaths-remain-too-high,,,,BAC,,
Theme,TRANSPARENCY,20/02/14,20/02/14,Any mention of transparency or accountability.,,,"Enhanced Transparency Framework, Measurement, Reporting, and Verification process under Kyoto Protocol, Inititative for Climate Action Transparency (ICAT), building robust transparency mechanisms, Transparency as an enabler",https://unfccc.int/news/a-vision-for-transparency-of-climate-action-in-africa,,,,None,,
Theme,TREASON,13/10/13,13/10/13,"Treason, sedition, insurrection.",,,"seditious conspiracy charges, extremist groups, riot-related charges, sedition conspiracy case, Anti-government Oath keepers, far-left antifa activists",https://apnews.com/article/stewart-rhodes-arrested-oath-keepers-jan-6-insurrection-70019e1007132e8df786aaf77215a110,,,,None,,
Theme,TRIAL,13/10/13,13/10/13,"Trail, courts, judges, lawyers, lawsuits, etc",,,"Judicial conference of the United States, right to counsel, impartial jury, Trial by Jury, civil lawsuit, Notice of Lawsuit, Bankruptcy Lawsuit, plaintiff files complaint, Appellate lawyers, defense lawyers, student lawyers, local lawyers",https://www.uscourts.gov/about-federal-courts/educational-resources/educational-activities/sixth-amendment-activities,,,,None,,
Theme,UNEMPLOYMENT,13/10/13,13/10/13,"Joblessness, unemployment",,,"labor force participation rate, Nonfarm payrolls, Average hourly earnings, jobless claims, rising inflation, lower productivity, unemployment insurance, economic downturns",https://www.cnbc.com/unemployment/,,,,None,,
Theme,UNGOVERNED,12/05/14,12/05/14,Ungoverned spaces,,,"forested ungoverned spaces, rural ungoverned spaces, Islamic extremists operations, undergoverned areas, Boko Haram controlled spaces, ISIS, parallel terrorism infrastructures",https://www.nbcnews.com/news/investigations/u-s-aims-root-out-ungoverned-spaces-hotbeds-terrorism-n181941,,,,None,,
Theme,UNREST_CHECKPOINT,01/10/14,01/10/14,Relating to checkpoints,,,"predicting social unrest, unrest motivated by socioeconomic factors, unrest triggered by GDP contractions, unrest caused by low growth, unrest caused by fiscal austerity, government incompetence, Reported Social Unrest Index, IMF research on Media Sentiment",https://www.imf.org/external/pubs/ft/fandd/2021/08/economics-of-social-unrest-imf-barrett-chen.htm,,,,None,,
Theme,UNREST_CLOSINGBORDER,01/10/14,01/10/14,Closing borders,,,"cross-border aid, cross-border operations, humanitarian assistance, humanitarian crisis, cross-border conflict, shortage of wheat and other commodities",https://news.un.org/en/story/2022/05/1119082,,,,None,,
Theme,UNREST_HUNGERSTRIKE,01/10/14,01/10/14,Hunger strikes,,,"hunger strike in Israeli prisons, solitary confinement of detainees, health deterioration, inhuman treatment, degrading treatment in hunger strike protest, access to appropriate treatment and care",https://news.un.org/en/story/2019/01/1030682,,,,None,,
Theme,UNREST_MOLOTOVCOCKTAIL,01/10/14,01/10/14,Molotov cocktails,,,"incendiary devices, makeshift bomb, flammable ingredients, throwing Molotov Cocktail towards police, incendiary barricades, incendiary defensive lines, civilian-focsed conflicts",https://www.nationalgeographic.co.uk/history-and-civilisation/2022/03/the-history-of-the-molotov-cocktail-an-iconic-weapon-of-underdogs,,,,None,,
Theme,UNREST_POLICEBRUTALITY,01/10/14,01/10/14,Police brutality,,,"footage of police beating, systemic racism, lifetime terms for police officer, resigned police officer, racial disparities in police stops, racial disparities in police frisks, acquittal of police officers,police use of chokeholds",https://www.bloomberg.com/news/articles/2020-06-09/a-history-of-protests-against-police-brutality,,,,None,,
Theme,UNREST_STONETHROWING,01/10/14,01/10/14,Stone throwing,,,"vandalizing property, Palestinian stone throwers, Palestinian uprisings, protests against corrupt political system, riot dispersals",https://www.nytimes.com/2022/10/14/world/middleeast/israel-palestinians-west-bank-deadliest-year.html,,,,None,,
Theme,UNREST_STONING,01/10/14,01/10/14,Stoning,,,,,,,,Repeated,,
Theme,UNSAFE_WORK_ENVIRONMENT,20/02/14,20/02/14,"Work injuries, killed on the job, working conditions, etc.",,,"accidents,diseases,work-related illnesses,labour guarantees,unregulated labour conflicts,labor disputes,spontaneous strikes,civilized labour relations",https://aflcio.org/reports/death-job-toll-neglect-2022,,,"Safety,Health Protections,Workers,Inspections,Penalties,Funding,Risk of injury,Illness,Death",None,,
Theme,URBAN,20/05/14,20/05/14,Discussion of the urban environment,,,"environmental conditions, increasingly urbanised,global environmental,resource conservation,urban systems,global environment",https://environment.ec.europa.eu/topics/urban-environment_en,,,"Towns,Suburbs,Transport,Resource-efficient,Sustainable,Policies",None,,
Theme,URBAN_SPRAWL,16/05/14,16/05/14,Urban sprawl,,,Traffic Congestion,https://www.britannica.com/explore/savingearth/urban-sprawl,,,",Metropolitan,Inner-city,Dwellings,Environmental Resources",None,,
Theme,VANDALIZE,13/10/13,13/10/13,"Vandalizing, desecration, defacing",,,"rioters,attacks,violent incidents,religious significance,assaults",https://www.politico.com/news/2022/10/01/russian-consulate-new-york-city-vandalized-00059892,,,"Facade,Diplomatic Obligations,Trampling",None,,
Theme,VETO,13/10/13,13/10/13,"Actual mentions of ""veto"", ""voted against"", etc",,,"Spurious Allegations,Voter Fraud, Procedural Ambiguities,  ",https://www.texastribune.org/2022/09/27/ted-cruz-insurrection/,,,",Objection",None,,
Theme,VIOLENT_UNREST,13/10/13,13/10/13,"Discussion of violent unrest, from rubber bullets, firing into a crowd, clashes with police or soldiers, violent rioting, etc",,,"Constitutional Protests,Critical Legislation  ",https://www.flgov.com/2021/04/19/what-they-are-saying-governor-ron-desantis-signs-hallmark-anti-rioting-legislation-taking-unapologetic-stand-for-public-safety/,,,"Communities,Chaos,Assemblies,Civilians,Peaceful Assembly,",None,,
Theme,WATER_SECURITY,13/10/13,13/10/13,"Drought, water access, lack of rain, clean water, etc",,,"Inadequate Water Supply,Rainwater,Flash Droughts, Drainage Channels",https://www.usgs.gov/faqs/why-doesnt-drought-end-when-it-rains,,,"Ecosystems,",None,,
Theme,WHISTLEBLOWER,13/10/13,13/10/13,"Whistleblowers, document leaks, etc",,,"abuse of authority,",https://www.voanews.com/a/whistleblowing-and-leaking-explained/3736863.html,,,"mismanagement,Prohibit, retribution, Revealing,disclosing",None,,
Theme,WMD,13/10/13,13/10/13,"Weapons of mass distruction, from nuclear to biological to chemical warfare",,,Disarmament Weapons,https://www.britannica.com/technology/weapon-of-mass-destruction,,,",grievous threat,massed formations,severe outbreaks,proliferation",None,,
Count,WOUND,13/10/13,13/10/13,Any mention of something being wounded or injured,,,"hits, weapons,cuts, scrapes, scratches,injuries,fractures,strains",https://myarmybenefits.us.army.mil/Wounded-Ill-and-Injured,,,"Cuts,Scrapes,Scratches,Punctured skin,Bruises",None,,
